event_id,user_id
1,4
1,5
1,23
1,24
1,25
1,26
1,27
2,4
2,5
2,23
2,24
2,25
2,26
2,27
3,5
3,24
4,4
4,5
4,23
4,24
4,25
4,26
4,27
5,4
5,5
5,23
5,24
5,25
5,26
5,27
6,4
6,5
6,23
6,24
6,25
6,26
6,27
7,4
7,5
7,23
7,24
7,25
7,26
7,27
8,5
8,23
8,24
8,25
8,26
8,27
8,29
8,30
8,31
8,32
8,33
8,34
8,35
8,38
8,44
8,45
8,46
8,49
8,50
8,51
9,5
9,23
9,24
9,25
9,26
9,27
9,29
9,30
9,31
9,32
9,33
9,34
9,35
9,38
9,44
9,45
9,46
9,49
9,50
9,51
10,5
10,23
10,24
10,25
10,26
10,27
10,29
10,30
10,31
10,32
10,33
10,34
10,35
10,38
10,44
10,45
10,46
10,49
10,50
10,51
11,5
11,23
11,24
11,25
11,26
11,27
11,29
11,30
11,31
11,32
11,33
11,34
11,35
11,38
11,44
11,45
11,46
11,49
11,50
11,51
12,5
12,23
12,24
12,25
12,26
12,27
12,29
12,30
12,31
12,32
12,33
12,34
12,35
12,38
12,44
12,45
12,46
12,49
12,50
12,51
13,5
13,23
13,24
13,25
13,26
13,27
13,29
13,30
13,31
13,32
13,33
13,34
13,35
13,38
13,44
13,45
13,46
13,49
13,50
13,51
14,5
14,23
14,24
14,25
14,26
14,27
14,29
14,30
14,31
14,32
14,33
14,34
14,35
14,38
14,44
14,45
14,46
14,49
14,50
14,51
15,5
15,23
15,24
15,25
15,26
15,27
15,29
15,30
15,31
15,32
15,33
15,34
15,35
15,38
15,44
15,45
15,46
15,49
15,50
15,51
16,1
16,5
16,23
16,24
16,25
16,26
16,27
16,29
16,30
16,31
16,32
16,33
16,34
16,35
16,38
16,44
16,45
16,46
16,47
16,49
16,50
16,51
16,108
16,111
